Date,Eu_interest_rate
1.1.2017,-0.4
2.1.2017,-0.4
3.1.2017,-0.4
4.1.2017,-0.4
5.1.2017,-0.4
6.1.2017,-0.4
7.1.2017,-0.4
8.1.2017,-0.4
9.1.2017,-0.4
10.1.2017,-0.4
11.1.2017,-0.4
12.1.2017,-0.4
13.1.2017,-0.4
14.1.2017,-0.4
15.1.2017,-0.4
16.1.2017,-0.4
17.1.2017,-0.4
18.1.2017,-0.4
19.1.2017,-0.4
20.1.2017,-0.4
21.1.2017,-0.4
22.1.2017,-0.4
23.1.2017,-0.4
24.1.2017,-0.4
25.1.2017,-0.4
26.1.2017,-0.4
27.1.2017,-0.4
28.1.2017,-0.4
29.1.2017,-0.4
30.1.2017,-0.4
31.1.2017,-0.4
1.2.2017,-0.4
2.2.2017,-0.4
3.2.2017,-0.4
4.2.2017,-0.4
5.2.2017,-0.4
6.2.2017,-0.4
7.2.2017,-0.4
8.2.2017,-0.4
9.2.2017,-0.4
10.2.2017,-0.4
11.2.2017,-0.4
12.2.2017,-0.4
13.2.2017,-0.4
14.2.2017,-0.4
15.2.2017,-0.4
16.2.2017,-0.4
17.2.2017,-0.4
18.2.2017,-0.4
19.2.2017,-0.4
20.2.2017,-0.4
21.2.2017,-0.4
22.2.2017,-0.4
23.2.2017,-0.4
24.2.2017,-0.4
25.2.2017,-0.4
26.2.2017,-0.4
27.2.2017,-0.4
28.2.2017,-0.4
1.3.2017,-0.4
2.3.2017,-0.4
3.3.2017,-0.4
4.3.2017,-0.4
5.3.2017,-0.4
6.3.2017,-0.4
7.3.2017,-0.4
8.3.2017,-0.4
9.3.2017,-0.4
10.3.2017,-0.4
11.3.2017,-0.4
12.3.2017,-0.4
13.3.2017,-0.4
14.3.2017,-0.4
15.3.2017,-0.4
16.3.2017,-0.4
17.3.2017,-0.4
18.3.2017,-0.4
19.3.2017,-0.4
20.3.2017,-0.4
21.3.2017,-0.4
22.3.2017,-0.4
23.3.2017,-0.4
24.3.2017,-0.4
25.3.2017,-0.4
26.3.2017,-0.4
27.3.2017,-0.4
28.3.2017,-0.4
29.3.2017,-0.4
30.3.2017,-0.4
31.3.2017,-0.4
1.4.2017,-0.4
2.4.2017,-0.4
3.4.2017,-0.4
4.4.2017,-0.4
5.4.2017,-0.4
6.4.2017,-0.4
7.4.2017,-0.4
8.4.2017,-0.4
9.4.2017,-0.4
10.4.2017,-0.4
11.4.2017,-0.4
12.4.2017,-0.4
13.4.2017,-0.4
14.4.2017,-0.4
15.4.2017,-0.4
16.4.2017,-0.4
17.4.2017,-0.4
18.4.2017,-0.4
19.4.2017,-0.4
20.4.2017,-0.4
21.4.2017,-0.4
22.4.2017,-0.4
23.4.2017,-0.4
24.4.2017,-0.4
25.4.2017,-0.4
26.4.2017,-0.4
27.4.2017,-0.4
28.4.2017,-0.4
29.4.2017,-0.4
30.4.2017,-0.4
1.5.2017,-0.4
2.5.2017,-0.4
3.5.2017,-0.4
4.5.2017,-0.4
5.5.2017,-0.4
6.5.2017,-0.4
7.5.2017,-0.4
8.5.2017,-0.4
9.5.2017,-0.4
10.5.2017,-0.4
11.5.2017,-0.4
12.5.2017,-0.4
13.5.2017,-0.4
14.5.2017,-0.4
15.5.2017,-0.4
16.5.2017,-0.4
17.5.2017,-0.4
18.5.2017,-0.4
19.5.2017,-0.4
20.5.2017,-0.4
21.5.2017,-0.4
22.5.2017,-0.4
23.5.2017,-0.4
24.5.2017,-0.4
25.5.2017,-0.4
26.5.2017,-0.4
27.5.2017,-0.4
28.5.2017,-0.4
29.5.2017,-0.4
30.5.2017,-0.4
31.5.2017,-0.4
1.6.2017,-0.4
2.6.2017,-0.4
3.6.2017,-0.4
4.6.2017,-0.4
5.6.2017,-0.4
6.6.2017,-0.4
7.6.2017,-0.4
8.6.2017,-0.4
9.6.2017,-0.4
10.6.2017,-0.4
11.6.2017,-0.4
12.6.2017,-0.4
13.6.2017,-0.4
14.6.2017,-0.4
15.6.2017,-0.4
16.6.2017,-0.4
17.6.2017,-0.4
18.6.2017,-0.4
19.6.2017,-0.4
20.6.2017,-0.4
21.6.2017,-0.4
22.6.2017,-0.4
23.6.2017,-0.4
24.6.2017,-0.4
25.6.2017,-0.4
26.6.2017,-0.4
27.6.2017,-0.4
28.6.2017,-0.4
29.6.2017,-0.4
30.6.2017,-0.4
1.7.2017,-0.4
2.7.2017,-0.4
3.7.2017,-0.4
4.7.2017,-0.4
5.7.2017,-0.4
6.7.2017,-0.4
7.7.2017,-0.4
8.7.2017,-0.4
9.7.2017,-0.4
10.7.2017,-0.4
11.7.2017,-0.4
12.7.2017,-0.4
13.7.2017,-0.4
14.7.2017,-0.4
15.7.2017,-0.4
16.7.2017,-0.4
17.7.2017,-0.4
18.7.2017,-0.4
19.7.2017,-0.4
20.7.2017,-0.4
21.7.2017,-0.4
22.7.2017,-0.4
23.7.2017,-0.4
24.7.2017,-0.4
25.7.2017,-0.4
26.7.2017,-0.4
27.7.2017,-0.4
28.7.2017,-0.4
29.7.2017,-0.4
30.7.2017,-0.4
31.7.2017,-0.4
1.8.2017,-0.4
2.8.2017,-0.4
3.8.2017,-0.4
4.8.2017,-0.4
5.8.2017,-0.4
6.8.2017,-0.4
7.8.2017,-0.4
8.8.2017,-0.4
9.8.2017,-0.4
10.8.2017,-0.4
11.8.2017,-0.4
12.8.2017,-0.4
13.8.2017,-0.4
14.8.2017,-0.4
15.8.2017,-0.4
16.8.2017,-0.4
17.8.2017,-0.4
18.8.2017,-0.4
19.8.2017,-0.4
20.8.2017,-0.4
21.8.2017,-0.4
22.8.2017,-0.4
23.8.2017,-0.4
24.8.2017,-0.4
25.8.2017,-0.4
26.8.2017,-0.4
27.8.2017,-0.4
28.8.2017,-0.4
29.8.2017,-0.4
30.8.2017,-0.4
31.8.2017,-0.4
1.9.2017,-0.4
2.9.2017,-0.4
3.9.2017,-0.4
4.9.2017,-0.4
5.9.2017,-0.4
6.9.2017,-0.4
7.9.2017,-0.4
8.9.2017,-0.4
9.9.2017,-0.4
10.9.2017,-0.4
11.9.2017,-0.4
12.9.2017,-0.4
13.9.2017,-0.4
14.9.2017,-0.4
15.9.2017,-0.4
16.9.2017,-0.4
17.9.2017,-0.4
18.9.2017,-0.4
19.9.2017,-0.4
20.9.2017,-0.4
21.9.2017,-0.4
22.9.2017,-0.4
23.9.2017,-0.4
24.9.2017,-0.4
25.9.2017,-0.4
26.9.2017,-0.4
27.9.2017,-0.4
28.9.2017,-0.4
29.9.2017,-0.4
30.9.2017,-0.4
1.10.2017,-0.4
2.10.2017,-0.4
3.10.2017,-0.4
4.10.2017,-0.4
5.10.2017,-0.4
6.10.2017,-0.4
7.10.2017,-0.4
8.10.2017,-0.4
9.10.2017,-0.4
10.10.2017,-0.4
11.10.2017,-0.4
12.10.2017,-0.4
13.10.2017,-0.4
14.10.2017,-0.4
15.10.2017,-0.4
16.10.2017,-0.4
17.10.2017,-0.4
18.10.2017,-0.4
19.10.2017,-0.4
20.10.2017,-0.4
21.10.2017,-0.4
22.10.2017,-0.4
23.10.2017,-0.4
24.10.2017,-0.4
25.10.2017,-0.4
26.10.2017,-0.4
27.10.2017,-0.4
28.10.2017,-0.4
29.10.2017,-0.4
30.10.2017,-0.4
31.10.2017,-0.4
1.11.2017,-0.4
2.11.2017,-0.4
3.11.2017,-0.4
4.11.2017,-0.4
5.11.2017,-0.4
6.11.2017,-0.4
7.11.2017,-0.4
8.11.2017,-0.4
9.11.2017,-0.4
10.11.2017,-0.4
11.11.2017,-0.4
12.11.2017,-0.4
13.11.2017,-0.4
14.11.2017,-0.4
15.11.2017,-0.4
16.11.2017,-0.4
17.11.2017,-0.4
18.11.2017,-0.4
19.11.2017,-0.4
20.11.2017,-0.4
21.11.2017,-0.4
22.11.2017,-0.4
23.11.2017,-0.4
24.11.2017,-0.4
25.11.2017,-0.4
26.11.2017,-0.4
27.11.2017,-0.4
28.11.2017,-0.4
29.11.2017,-0.4
30.11.2017,-0.4
1.12.2017,-0.4
2.12.2017,-0.4
3.12.2017,-0.4
4.12.2017,-0.4
5.12.2017,-0.4
6.12.2017,-0.4
7.12.2017,-0.4
8.12.2017,-0.4
9.12.2017,-0.4
10.12.2017,-0.4
11.12.2017,-0.4
12.12.2017,-0.4
13.12.2017,-0.4
14.12.2017,-0.4
15.12.2017,-0.4
16.12.2017,-0.4
17.12.2017,-0.4
18.12.2017,-0.4
19.12.2017,-0.4
20.12.2017,-0.4
21.12.2017,-0.4
22.12.2017,-0.4
23.12.2017,-0.4
24.12.2017,-0.4
25.12.2017,-0.4
26.12.2017,-0.4
27.12.2017,-0.4
28.12.2017,-0.4
29.12.2017,-0.4
30.12.2017,-0.4
31.12.2017,-0.4
1.1.2018,-0.4
2.1.2018,-0.4
3.1.2018,-0.4
4.1.2018,-0.4
5.1.2018,-0.4
6.1.2018,-0.4
7.1.2018,-0.4
8.1.2018,-0.4
9.1.2018,-0.4
10.1.2018,-0.4
11.1.2018,-0.4
12.1.2018,-0.4
13.1.2018,-0.4
14.1.2018,-0.4
15.1.2018,-0.4
16.1.2018,-0.4
17.1.2018,-0.4
18.1.2018,-0.4
19.1.2018,-0.4
20.1.2018,-0.4
21.1.2018,-0.4
22.1.2018,-0.4
23.1.2018,-0.4
24.1.2018,-0.4
25.1.2018,-0.4
26.1.2018,-0.4
27.1.2018,-0.4
28.1.2018,-0.4
29.1.2018,-0.4
30.1.2018,-0.4
31.1.2018,-0.4
1.2.2018,-0.4
2.2.2018,-0.4
3.2.2018,-0.4
4.2.2018,-0.4
5.2.2018,-0.4
6.2.2018,-0.4
7.2.2018,-0.4
8.2.2018,-0.4
9.2.2018,-0.4
10.2.2018,-0.4
11.2.2018,-0.4
12.2.2018,-0.4
13.2.2018,-0.4
14.2.2018,-0.4
15.2.2018,-0.4
16.2.2018,-0.4
17.2.2018,-0.4
18.2.2018,-0.4
19.2.2018,-0.4
20.2.2018,-0.4
21.2.2018,-0.4
22.2.2018,-0.4
23.2.2018,-0.4
24.2.2018,-0.4
25.2.2018,-0.4
26.2.2018,-0.4
27.2.2018,-0.4
28.2.2018,-0.4
1.3.2018,-0.4
2.3.2018,-0.4
3.3.2018,-0.4
4.3.2018,-0.4
5.3.2018,-0.4
6.3.2018,-0.4
7.3.2018,-0.4
8.3.2018,-0.4
9.3.2018,-0.4
10.3.2018,-0.4
11.3.2018,-0.4
12.3.2018,-0.4
13.3.2018,-0.4
14.3.2018,-0.4
15.3.2018,-0.4
16.3.2018,-0.4
17.3.2018,-0.4
18.3.2018,-0.4
19.3.2018,-0.4
20.3.2018,-0.4
21.3.2018,-0.4
22.3.2018,-0.4
23.3.2018,-0.4
24.3.2018,-0.4
25.3.2018,-0.4
26.3.2018,-0.4
27.3.2018,-0.4
28.3.2018,-0.4
29.3.2018,-0.4
30.3.2018,-0.4
31.3.2018,-0.4
1.4.2018,-0.4
2.4.2018,-0.4
3.4.2018,-0.4
4.4.2018,-0.4
5.4.2018,-0.4
6.4.2018,-0.4
7.4.2018,-0.4
8.4.2018,-0.4
9.4.2018,-0.4
10.4.2018,-0.4
11.4.2018,-0.4
12.4.2018,-0.4
13.4.2018,-0.4
14.4.2018,-0.4
15.4.2018,-0.4
16.4.2018,-0.4
17.4.2018,-0.4
18.4.2018,-0.4
19.4.2018,-0.4
20.4.2018,-0.4
21.4.2018,-0.4
22.4.2018,-0.4
23.4.2018,-0.4
24.4.2018,-0.4
25.4.2018,-0.4
26.4.2018,-0.4
27.4.2018,-0.4
28.4.2018,-0.4
29.4.2018,-0.4
30.4.2018,-0.4
1.5.2018,-0.4
2.5.2018,-0.4
3.5.2018,-0.4
4.5.2018,-0.4
5.5.2018,-0.4
6.5.2018,-0.4
7.5.2018,-0.4
8.5.2018,-0.4
9.5.2018,-0.4
10.5.2018,-0.4
11.5.2018,-0.4
12.5.2018,-0.4
13.5.2018,-0.4
14.5.2018,-0.4
15.5.2018,-0.4
16.5.2018,-0.4
17.5.2018,-0.4
18.5.2018,-0.4
19.5.2018,-0.4
20.5.2018,-0.4
21.5.2018,-0.4
22.5.2018,-0.4
23.5.2018,-0.4
24.5.2018,-0.4
25.5.2018,-0.4
26.5.2018,-0.4
27.5.2018,-0.4
28.5.2018,-0.4
29.5.2018,-0.4
30.5.2018,-0.4
31.5.2018,-0.4
1.6.2018,-0.4
2.6.2018,-0.4
3.6.2018,-0.4
4.6.2018,-0.4
5.6.2018,-0.4
6.6.2018,-0.4
7.6.2018,-0.4
8.6.2018,-0.4
9.6.2018,-0.4
10.6.2018,-0.4
11.6.2018,-0.4
12.6.2018,-0.4
13.6.2018,-0.4
14.6.2018,-0.4
15.6.2018,-0.4
16.6.2018,-0.4
17.6.2018,-0.4
18.6.2018,-0.4
19.6.2018,-0.4
20.6.2018,-0.4
21.6.2018,-0.4
22.6.2018,-0.4
23.6.2018,-0.4
24.6.2018,-0.4
25.6.2018,-0.4
26.6.2018,-0.4
27.6.2018,-0.4
28.6.2018,-0.4
29.6.2018,-0.4
30.6.2018,-0.4
1.7.2018,-0.4
2.7.2018,-0.4
3.7.2018,-0.4
4.7.2018,-0.4
5.7.2018,-0.4
6.7.2018,-0.4
7.7.2018,-0.4
8.7.2018,-0.4
9.7.2018,-0.4
10.7.2018,-0.4
11.7.2018,-0.4
12.7.2018,-0.4
13.7.2018,-0.4
14.7.2018,-0.4
15.7.2018,-0.4
16.7.2018,-0.4
17.7.2018,-0.4
18.7.2018,-0.4
19.7.2018,-0.4
20.7.2018,-0.4
21.7.2018,-0.4
22.7.2018,-0.4
23.7.2018,-0.4
24.7.2018,-0.4
25.7.2018,-0.4
26.7.2018,-0.4
27.7.2018,-0.4
28.7.2018,-0.4
29.7.2018,-0.4
30.7.2018,-0.4
31.7.2018,-0.4
1.8.2018,-0.4
2.8.2018,-0.4
3.8.2018,-0.4
4.8.2018,-0.4
5.8.2018,-0.4
6.8.2018,-0.4
7.8.2018,-0.4
8.8.2018,-0.4
9.8.2018,-0.4
10.8.2018,-0.4
11.8.2018,-0.4
12.8.2018,-0.4
13.8.2018,-0.4
14.8.2018,-0.4
15.8.2018,-0.4
16.8.2018,-0.4
17.8.2018,-0.4
18.8.2018,-0.4
19.8.2018,-0.4
20.8.2018,-0.4
21.8.2018,-0.4
22.8.2018,-0.4
23.8.2018,-0.4
24.8.2018,-0.4
25.8.2018,-0.4
26.8.2018,-0.4
27.8.2018,-0.4
28.8.2018,-0.4
29.8.2018,-0.4
30.8.2018,-0.4
31.8.2018,-0.4
1.9.2018,-0.4
2.9.2018,-0.4
3.9.2018,-0.4
4.9.2018,-0.4
5.9.2018,-0.4
6.9.2018,-0.4
7.9.2018,-0.4
8.9.2018,-0.4
9.9.2018,-0.4
10.9.2018,-0.4
11.9.2018,-0.4
12.9.2018,-0.4
13.9.2018,-0.4
14.9.2018,-0.4
15.9.2018,-0.4
16.9.2018,-0.4
17.9.2018,-0.4
18.9.2018,-0.4
19.9.2018,-0.4
20.9.2018,-0.4
21.9.2018,-0.4
22.9.2018,-0.4
23.9.2018,-0.4
24.9.2018,-0.4
25.9.2018,-0.4
26.9.2018,-0.4
27.9.2018,-0.4
28.9.2018,-0.4
29.9.2018,-0.4
30.9.2018,-0.4
1.10.2018,-0.4
2.10.2018,-0.4
3.10.2018,-0.4
4.10.2018,-0.4
5.10.2018,-0.4
6.10.2018,-0.4
7.10.2018,-0.4
8.10.2018,-0.4
9.10.2018,-0.4
10.10.2018,-0.4
11.10.2018,-0.4
12.10.2018,-0.4
13.10.2018,-0.4
14.10.2018,-0.4
15.10.2018,-0.4
16.10.2018,-0.4
17.10.2018,-0.4
18.10.2018,-0.4
19.10.2018,-0.4
20.10.2018,-0.4
21.10.2018,-0.4
22.10.2018,-0.4
23.10.2018,-0.4
24.10.2018,-0.4
25.10.2018,-0.4
26.10.2018,-0.4
27.10.2018,-0.4
28.10.2018,-0.4
29.10.2018,-0.4
30.10.2018,-0.4
31.10.2018,-0.4
1.11.2018,-0.4
2.11.2018,-0.4
3.11.2018,-0.4
4.11.2018,-0.4
5.11.2018,-0.4
6.11.2018,-0.4
7.11.2018,-0.4
8.11.2018,-0.4
9.11.2018,-0.4
10.11.2018,-0.4
11.11.2018,-0.4
12.11.2018,-0.4
13.11.2018,-0.4
14.11.2018,-0.4
15.11.2018,-0.4
16.11.2018,-0.4
17.11.2018,-0.4
18.11.2018,-0.4
19.11.2018,-0.4
20.11.2018,-0.4
21.11.2018,-0.4
22.11.2018,-0.4
23.11.2018,-0.4
24.11.2018,-0.4
25.11.2018,-0.4
26.11.2018,-0.4
27.11.2018,-0.4
28.11.2018,-0.4
29.11.2018,-0.4
30.11.2018,-0.4
1.12.2018,-0.4
2.12.2018,-0.4
3.12.2018,-0.4
4.12.2018,-0.4
5.12.2018,-0.4
6.12.2018,-0.4
7.12.2018,-0.4
8.12.2018,-0.4
9.12.2018,-0.4
10.12.2018,-0.4
11.12.2018,-0.4
12.12.2018,-0.4
13.12.2018,-0.4
14.12.2018,-0.4
15.12.2018,-0.4
16.12.2018,-0.4
17.12.2018,-0.4
18.12.2018,-0.4
19.12.2018,-0.4
20.12.2018,-0.4
21.12.2018,-0.4
22.12.2018,-0.4
23.12.2018,-0.4
24.12.2018,-0.4
25.12.2018,-0.4
26.12.2018,-0.4
27.12.2018,-0.4
28.12.2018,-0.4
29.12.2018,-0.4
30.12.2018,-0.4
31.12.2018,-0.4
1.1.2019,-0.4
2.1.2019,-0.4
3.1.2019,-0.4
4.1.2019,-0.4
5.1.2019,-0.4
6.1.2019,-0.4
7.1.2019,-0.4
8.1.2019,-0.4
9.1.2019,-0.4
10.1.2019,-0.4
11.1.2019,-0.4
12.1.2019,-0.4
13.1.2019,-0.4
14.1.2019,-0.4
15.1.2019,-0.4
16.1.2019,-0.4
17.1.2019,-0.4
18.1.2019,-0.4
19.1.2019,-0.4
20.1.2019,-0.4
21.1.2019,-0.4
22.1.2019,-0.4
23.1.2019,-0.4
24.1.2019,-0.4
25.1.2019,-0.4
26.1.2019,-0.4
27.1.2019,-0.4
28.1.2019,-0.4
29.1.2019,-0.4
30.1.2019,-0.4
31.1.2019,-0.4
1.2.2019,-0.4
2.2.2019,-0.4
3.2.2019,-0.4
4.2.2019,-0.4
5.2.2019,-0.4
6.2.2019,-0.4
7.2.2019,-0.4
8.2.2019,-0.4
9.2.2019,-0.4
10.2.2019,-0.4
11.2.2019,-0.4
12.2.2019,-0.4
13.2.2019,-0.4
14.2.2019,-0.4
15.2.2019,-0.4
16.2.2019,-0.4
17.2.2019,-0.4
18.2.2019,-0.4
19.2.2019,-0.4
20.2.2019,-0.4
21.2.2019,-0.4
22.2.2019,-0.4
23.2.2019,-0.4
24.2.2019,-0.4
25.2.2019,-0.4
26.2.2019,-0.4
27.2.2019,-0.4
28.2.2019,-0.4
1.3.2019,-0.4
2.3.2019,-0.4
3.3.2019,-0.4
4.3.2019,-0.4
5.3.2019,-0.4
6.3.2019,-0.4
7.3.2019,-0.4
8.3.2019,-0.4
9.3.2019,-0.4
10.3.2019,-0.4
11.3.2019,-0.4
12.3.2019,-0.4
13.3.2019,-0.4
14.3.2019,-0.4
15.3.2019,-0.4
16.3.2019,-0.4
17.3.2019,-0.4
18.3.2019,-0.4
19.3.2019,-0.4
20.3.2019,-0.4
21.3.2019,-0.4
22.3.2019,-0.4
23.3.2019,-0.4
24.3.2019,-0.4
25.3.2019,-0.4
26.3.2019,-0.4
27.3.2019,-0.4
28.3.2019,-0.4
29.3.2019,-0.4
30.3.2019,-0.4
31.3.2019,-0.4
1.4.2019,-0.4
2.4.2019,-0.4
3.4.2019,-0.4
4.4.2019,-0.4
5.4.2019,-0.4
6.4.2019,-0.4
7.4.2019,-0.4
8.4.2019,-0.4
9.4.2019,-0.4
10.4.2019,-0.4
11.4.2019,-0.4
12.4.2019,-0.4
13.4.2019,-0.4
14.4.2019,-0.4
15.4.2019,-0.4
16.4.2019,-0.4
17.4.2019,-0.4
18.4.2019,-0.4
19.4.2019,-0.4
20.4.2019,-0.4
21.4.2019,-0.4
22.4.2019,-0.4
23.4.2019,-0.4
24.4.2019,-0.4
