Date,MCOILBRENTEU
1.1.2017,54.58
1.2.2017,54.87
1.3.2017,51.59
1.4.2017,52.31
1.5.2017,50.33
1.6.2017,46.37
1.7.2017,48.48
1.8.2017,51.7
1.9.2017,56.15
1.10.2017,57.51
1.11.2017,62.71
1.12.2017,64.37
1.1.2018,69.08
1.2.2018,65.32
1.3.2018,66.02
1.4.2018,72.11
1.5.2018,76.98
1.6.2018,74.41
1.7.2018,74.25
1.8.2018,72.53
1.9.2018,78.89
1.10.2018,81.03
1.11.2018,64.75
1.12.2018,57.36
1.1.2019,59.41
1.2.2019,63.96
1.3.2019,66.14
1.4.2019,71.23
1.5.2019,71.32
1.6.2019,64.22
1.7.2019,63.92
1.8.2019,59.04
1.9.2019,62.83
1.10.2019,59.71
1.11.2019,63.21
1.12.2019,67.31
1.1.2020,63.65
1.2.2020,55.66
1.3.2020,32.01
1.4.2020,18.38
1.5.2020,29.38
1.6.2020,40.27
1.7.2020,43.24
1.8.2020,44.74
1.9.2020,40.91
1.10.2020,40.19
1.11.2020,42.69
1.12.2020,49.99
1.1.2021,54.77
1.2.2021,62.28
1.3.2021,65.41
1.4.2021,64.81
1.5.2021,68.53
1.6.2021,73.16
1.7.2021,75.17
1.8.2021,70.75
1.9.2021,74.49
1.10.2021,83.54
1.11.2021,81.05
1.12.2021,74.17
1.1.2022,86.51
1.2.2022,97.13
1.3.2022,117.25
1.4.2022,104.58
1.5.2022,113.34
1.6.2022,122.71
1.7.2022,111.93
1.8.2022,100.45
1.9.2022,89.76
1.10.2022,93.33
1.11.2022,91.42
1.12.2022,80.92
1.1.2023,82.5
1.2.2023,82.59
1.3.2023,78.43
1.4.2023,84.64
1.5.2023,75.47
1.6.2023,74.84
1.7.2023,80.11
1.8.2023,86.15
1.9.2023,93.72
1.10.2023,90.6
1.11.2023,82.94
1.12.2023,77.63
1.1.2024,80.12
1.2.2024,81.12