Date,Crude Oil ($/barrel),Natural Gas ($/mBtu) ,Coal ($/mBtu)
1.1.2017,52.5,3.3,2.09
2.1.2017,53.47,2.85,2.06
3.1.2017,49.33,2.88,2.07
4.1.2017,51.06,3.1,2.08
5.1.2017,48.48,3.15,2.09
6.1.2017,45.18,2.98,2.07
7.1.2017,46.63,2.98,2.06
8.1.2017,48.04,2.9,2.05
9.1.2017,49.82,2.98,2.02
10.1.2017,51.58,2.88,2.03
11.1.2017,56.64,3.01,2.04
12.1.2017,57.88,2.82,2.04
1.1.2018,63.7,3.69,2.06
2.1.2018,62.23,2.67,2.07
3.1.2018,62.73,2.69,2.04
4.1.2018,66.25,2.8,2.07
5.1.2018,69.98,2.8,2.04
6.1.2018,67.87,2.97,2.04
7.1.2018,70.98,2.83,2.05
8.1.2018,68.06,2.96,2.06
9.1.2018,70.23,3,2.05
10.1.2018,70.75,3.28,2.04
11.1.2018,56.96,4.09,2.06
12.1.2018,49.52,4.04,2.11
1.1.2019,51.38,3.11,2.1
2.1.2019,54.95,2.69,2.07
3.1.2019,58.15,2.95,2.08
4.1.2019,63.86,2.65,2.07
5.1.2019,60.83,2.64,2.05
6.1.2019,54.66,2.4,2.03
7.1.2019,57.35,2.37,2.02
8.1.2019,54.8,2.22,2
9.1.2019,56.95,2.56,1.96
10.1.2019,53.96,2.33,1.96
11.1.2019,57.03,2.65,1.96
12.1.2019,59.88,2.22,1.91
1.1.2020,57.52,2.02,1.94
2.1.2020,50.54,1.91,1.9
3.1.2020,29.21,1.79,1.93
4.1.2020,16.55,1.74,1.92
5.1.2020,28.56,1.75,1.89
6.1.2020,38.31,1.63,1.9
7.1.2020,40.71,1.77,1.91
8.1.2020,42.34,2.3,1.94
9.1.2020,39.63,1.92,1.94
10.1.2020,39.4,2.39,1.91
11.1.2020,40.94,2.61,1.91
12.1.2020,47.02,2.59,1.92
1.1.2021,52,2.71,1.9
2.1.2021,59.04,5.35,1.93
3.1.2021,62.33,2.62,1.89
4.1.2021,61.72,2.66,1.9
5.1.2021,65.17,2.91,1.89
6.1.2021,71.38,3.26,1.95
7.1.2021,72.49,3.84,2.01
8.1.2021,67.73,4.07,2.06
9.1.2021,71.65,5.16,2.01
10.1.2021,81.48,5.51,2.03
11.1.2021,79.15,5.05,2.04
12.1.2021,71.71,3.76,2.07
1.1.2022,83.22,4.38,2.2
2.1.2022,91.64,4.69,2.17
3.1.2022,108.5,4.9,2.15
4.1.2022,101.78,6.59,2.18
5.1.2022,109.55,8.14,2.23
6.1.2022,114.84,7.7,2.32
7.1.2022,101.62,7.28,2.47
8.1.2022,93.67,8.8,2.51
9.1.2022,84.26,7.88,2.51
10.1.2022,87.55,5.66,2.46
11.1.2022,84.37,5.45,2.48
12.1.2022,76.44,5.53,2.65
1.1.2023,78.12,3.27,2.59
2.1.2023,76.83,2.38,2.6
3.1.2023,73.28,2.31,2.51
4.1.2023,79.45,2.16,2.48
5.1.2023,71.58,2.15,2.51
6.1.2023,70.25,2.18,2.47
7.1.2023,76.07,2.55,2.49
8.1.2023,81.39,2.58,2.5
9.1.2023,89.43,2.64,2.53
10.1.2023,85.64,2.98,2.54
11.1.2023,77.69,2.71,2.53
12.1.2023,71.9,2.52,2.53
1.1.2024,76.5,2.74,2.53
2.1.2024,78.5,2.6,2.52