Entity,Year,Coal - Prices
Northwest Europe marker price (BP),2001,39.03422927856445
Northwest Europe marker price (BP),2002,31.649616241455078
Northwest Europe marker price (BP),2003,43.59788513183594
Northwest Europe marker price (BP),2004,72.13433837890625
Northwest Europe marker price (BP),2005,60.53923034667969
Northwest Europe marker price (BP),2006,64.10807800292969
Northwest Europe marker price (BP),2007,88.78519439697266
Northwest Europe marker price (BP),2008,147.6736602783203
Northwest Europe marker price (BP),2009,70.38884735107422
Northwest Europe marker price (BP),2010,92.49961853027344
Northwest Europe marker price (BP),2011,121.4800033569336
Northwest Europe marker price (BP),2012,92.49961853027344
Northwest Europe marker price (BP),2013,81.68904113769531
Northwest Europe marker price (BP),2014,75.38076782226562
Northwest Europe marker price (BP),2015,56.794036865234375
Northwest Europe marker price (BP),2016,60.08564758300781
Northwest Europe marker price (BP),2017,84.51041412353516
Northwest Europe marker price (BP),2018,91.82705688476562
Northwest Europe marker price (BP),2019,60.85525131225586
Northwest Europe marker price (BP),2020,50.164268493652344
Northwest Europe marker price (BP),2021,121.6998062133789
Northwest Europe marker price (BP),2022,293.6190411
Northwest Europe marker price (BP),2023,110.1642685