Date,APU000072610
1.1.2017,0.134
1.2.2017,0.135
1.3.2017,0.134
1.4.2017,0.135
1.5.2017,0.137
1.6.2017,0.142
1.7.2017,0.143
1.8.2017,0.142
1.9.2017,0.142
1.10.2017,0.137
1.11.2017,0.136
1.12.2017,0.136
1.1.2018,0.135
1.2.2018,0.135
1.3.2018,0.135
1.4.2018,0.134
1.5.2018,0.136
1.6.2018,0.139
1.7.2018,0.139
1.8.2018,0.139
1.9.2018,0.138
1.10.2018,0.136
1.11.2018,0.134
1.12.2018,0.135
1.1.2019,0.135
1.2.2019,0.136
1.3.2019,0.135
1.4.2019,0.135
1.5.2019,0.136
1.6.2019,0.139
1.7.2019,0.14
1.8.2019,0.139
1.9.2019,0.139
1.10.2019,0.136
1.11.2019,0.133
1.12.2019,0.133
1.1.2020,0.134
1.2.2020,0.134
1.3.2020,0.134
1.4.2020,0.133
1.5.2020,0.134
1.6.2020,0.137
1.7.2020,0.137
1.8.2020,0.137
1.9.2020,0.137
1.10.2020,0.135
1.11.2020,0.136
1.12.2020,0.136
1.1.2021,0.136
1.2.2021,0.137
1.3.2021,0.138
1.4.2021,0.139
1.5.2021,0.14
1.6.2021,0.142
1.7.2021,0.143
1.8.2021,0.144
1.9.2021,0.144
1.10.2021,0.142
1.11.2021,0.142
1.12.2021,0.142
1.1.2022,0.147
1.2.2022,0.148
1.3.2022,0.15
1.4.2022,0.151
1.5.2022,0.154
1.6.2022,0.16
1.7.2022,0.164
1.8.2022,0.167
1.9.2022,0.167
1.10.2022,0.166
1.11.2022,0.163
1.12.2022,0.165
1.1.2023,0.168
1.2.2023,0.168
1.3.2023,0.166
1.4.2023,0.165
1.5.2023,0.165
1.6.2023,0.17
1.7.2023,0.169
1.8.2023,0.17
1.9.2023,0.171
1.10.2023,0.169
1.11.2023,0.168
1.12.2023,0.169
1.1.2024,0.17
1.2.2024,0.171